[ 2020-11-02 11:03:54,217 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:03:54,234 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:03:54,367 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:03:54,378 ] Disconnected from gameserver
[ 2020-11-02 11:04:04,685 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:04:04,923 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2020-11-02 11:04:04,925 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:04:04,935 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:04:04,952 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:04:04,957 ] Disconnected from gameserver
[ 2020-11-02 11:04:05,902 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:06:52,097 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:06:52,652 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2020-11-02 11:06:52,654 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:06:53,647 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:06:54,714 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2020-11-02 11:06:55,714 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:06:57,765 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2020-11-02 11:06:57,778 ] Disconnected from gameserver
[ 2020-11-02 11:06:58,951 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2020-11-02 11:06:58,953 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:06:59,948 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:07:01,015 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2020-11-02 11:07:02,015 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:07:04,065 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2020-11-02 11:07:04,069 ] Disconnected from gameserver
[ 2020-11-02 11:07:05,270 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2020-11-02 11:07:05,272 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:07:06,265 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:07:07,283 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:07:13,065 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:07:13,128 ] Disconnected from gameserver
[ 2020-11-02 11:07:13,155 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:07:20,885 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:07:22,266 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik" )
[ 2020-11-02 11:07:22,268 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:07:22,282 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:07:23,249 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:08:46,673 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
